epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.389,1.42067,2.75617,1.96311,0.00333,1,0.38002,0.23205,0.52832,3.15916,1.12291,0.0002,0.0002,0.0002
2,38.3046,1.22091,2.43166,1.71924,0.00333,1,0.7014,0.47327,0.77187,3.05167,1.33615,0.000417228,0.000417228,0.000417228
3,56.7399,1.17376,1.9123,1.61012,0.00333,1,0.88318,0.66222,0.74898,2.96298,1.30096,0.000631552,0.000631552,0.000631552
4,75.3417,1.05802,2.19294,1.63562,0.79282,0.54837,0.84623,0.50682,0.94346,2.81498,1.55517,0.000842972,0.000842972,0.000842972
5,93.7955,1.25321,2.01933,1.82905,0.53622,0.57849,0.52151,0.25866,1.32389,3.22698,1.98058,0.00105149,0.00105149,0.00105149
6,112.291,1.23707,1.9708,1.72509,0.38267,0.53222,0.43273,0.19154,1.70825,3.56011,3.14771,0.0012571,0.0012571,0.0012571
7,130.946,1.26148,1.92877,1.80915,0.81025,0.61168,0.79859,0.30553,1.56782,4.69395,2.63209,0.00145981,0.00145981,0.00145981
8,149.7,1.28653,1.95297,1.7143,0.74942,0.92857,0.85421,0.44312,1.2402,2.85249,2.03452,0.00165961,0.00165961,0.00165961
9,168.528,1.23074,1.84151,1.68647,0.47829,0.35714,0.44957,0.1859,1.39601,4.16664,2.08971,0.00185651,0.00185651,0.00185651
10,186.733,1.11687,1.93192,1.70347,0.38624,0.85714,0.45575,0.21515,1.46868,3.87847,2.37113,0.0018812,0.0018812,0.0018812
11,204.195,1.26247,1.84988,1.79789,0.33465,0.78571,0.49848,0.19359,1.65407,3.92868,2.46239,0.001868,0.001868,0.001868
12,221.488,1.17917,1.76496,1.70841,0.61949,0.93041,0.83085,0.42903,1.51062,3.64178,2.1803,0.0018548,0.0018548,0.0018548
13,238.728,1.23128,1.82767,1.76211,0.87385,0.99017,0.94727,0.47623,1.35259,4.33054,2.22091,0.0018416,0.0018416,0.0018416
14,255.896,1.24181,1.63273,1.74203,0.86716,0.93279,0.98125,0.59713,1.13932,4.00047,1.95615,0.0018284,0.0018284,0.0018284
15,273.063,1.18398,1.67688,1.68138,0.58102,0.92857,0.81285,0.40534,1.28994,3.87582,1.94119,0.0018152,0.0018152,0.0018152
16,289.97,1.25449,1.69149,1.78095,0.80694,0.89678,0.95049,0.38531,1.29806,4.05298,1.99402,0.001802,0.001802,0.001802
17,306.972,1.33833,1.66323,1.7913,0.97528,1,0.995,0.55956,1.19343,1.59356,1.90204,0.0017888,0.0017888,0.0017888
18,324.293,1.14849,1.47062,1.6906,0.70627,0.85714,0.89319,0.40136,1.31978,2.08269,1.8317,0.0017756,0.0017756,0.0017756
19,341.476,1.09333,1.42188,1.63092,1,0.77335,0.90542,0.5363,1.26382,1.63792,1.9166,0.0017624,0.0017624,0.0017624
20,358.792,1.05066,1.43147,1.58837,0.73873,0.85714,0.84909,0.4577,1.24533,1.64435,1.89154,0.0017492,0.0017492,0.0017492
21,375.372,1.26419,1.54147,1.69384,0.54325,0.78571,0.67341,0.36929,1.32849,1.8812,1.9868,0.001736,0.001736,0.001736
22,392.382,1.22281,1.54139,1.70504,0.43294,0.78571,0.50241,0.20628,1.34023,2.14384,2.21681,0.0017228,0.0017228,0.0017228
23,409.758,1.19676,1.61982,1.69781,0.49018,0.57143,0.46551,0.15006,1.81687,2.5575,2.35755,0.0017096,0.0017096,0.0017096
24,426.598,1.17284,1.4003,1.63384,0.42136,0.5,0.47183,0.16525,2.01522,2.38676,2.28812,0.0016964,0.0016964,0.0016964
25,443.613,1.15605,1.49742,1.66728,0.91589,0.77842,0.87944,0.57778,1.00313,1.51888,1.50879,0.0016832,0.0016832,0.0016832
26,460.558,1.15742,1.33231,1.65053,0.90144,1,0.981,0.64712,1.10541,1.0856,1.79582,0.00167,0.00167,0.00167
27,477.862,1.06457,1.33664,1.56836,0.95031,0.85714,0.97029,0.67251,1.09871,1.21192,1.78138,0.0016568,0.0016568,0.0016568
28,494.748,1.18075,1.32148,1.70918,0.77967,0.71429,0.77317,0.29922,1.94464,1.88003,2.78176,0.0016436,0.0016436,0.0016436
29,511.958,1.19431,1.46735,1.68978,0.89198,0.71429,0.84723,0.36033,1.63876,1.64755,2.61184,0.0016304,0.0016304,0.0016304
30,528.757,1.29429,1.31922,1.76007,0.99771,0.92857,0.98265,0.49351,1.58177,1.32405,2.4707,0.0016172,0.0016172,0.0016172
31,545.795,1.16233,1.36237,1.60343,0.87278,0.98095,0.98125,0.61667,1.26249,1.21242,1.81951,0.001604,0.001604,0.001604
32,562.883,1.05342,1.26745,1.56017,1,0.91344,0.98625,0.57199,1.22524,1.29538,1.73835,0.0015908,0.0015908,0.0015908
33,579.284,1.06366,1.21145,1.60712,0.98089,1,0.995,0.53871,1.28714,1.46405,1.87411,0.0015776,0.0015776,0.0015776
34,596.449,1.16071,1.23751,1.62584,0.92964,1,0.995,0.60709,1.22816,1.22829,1.81768,0.0015644,0.0015644,0.0015644
35,968.873,1.05875,1.2016,1.55352,1,0.99428,0.995,0.55051,1.3224,1.09254,1.84262,0.0015512,0.0015512,0.0015512
36,987.351,1.01202,1.16348,1.52516,0.99243,1,0.995,0.41976,1.85294,1.27989,2.42536,0.001538,0.001538,0.001538
37,1008.86,1.1292,1.29719,1.60601,0.99256,1,0.995,0.46573,1.76728,1.36243,2.30278,0.0015248,0.0015248,0.0015248
38,1027.5,1.0749,1.20101,1.54617,0.98516,1,0.995,0.56721,1.59881,1.35105,2.25046,0.0015116,0.0015116,0.0015116
39,1046.2,1.13763,1.19942,1.65542,0.99402,1,0.995,0.56952,1.33394,1.03407,1.99218,0.0014984,0.0014984,0.0014984
40,1064.7,1.00774,1.15804,1.53049,0.97992,1,0.995,0.60257,1.25119,1.03989,1.90033,0.0014852,0.0014852,0.0014852
41,1082.77,1.04992,1.11598,1.54939,0.98593,0.92857,0.99033,0.65866,1.19187,0.9209,1.79661,0.001472,0.001472,0.001472
